Contexto.Precedente,Ocorrencia,Contexto.Seguinte,faixa.etaria,sexo.genero,registro,amostra
tentaram ou (  Inf. NÃO::,a gente<G>,SEMpre leVAva isso na brincadeira...,1,M,DID,II
Doc. é  Inf. e aí,a gente<G>,NUNca/NUNca teve/teve atitude de leVAR,1,M,DID,II
a ele qui ele preCIsa IR,a GENte<G>,nunca teve essa atitude NÃO,1,M,DID,II
um vício mas a gen acha,a gente<G>,tem certeza qu isso é,1,M,DID,II
boa  Inf. né::no ensino fundamental,a gente<G>,estudou próximo ali do jardim,1,M,DID,II
eu SEMpre:: e aí as (dificu/como/,a gente<G>,ti/) como a gente<G> tinha,1,M,DID,II
as (dificu/como/ a gente<G> ti/) como,a gente<G>,tinha diculDAde finanCEIra a minha,1,M,DID,II
ortopedista ( ) pelo SUS mas,a gente<G>,pe/ graças a deus a,1,M,DID,II
a gente<G> pe/ graças a deus,a gente<G>,pegou um:: dos melhores ortopedista,1,M,DID,II
hoje em dia? porque por exemplo,a gente<G>,não vê:: ou aliás a,1,M,DID,II
a gente<G> não vê:: ou aliás,a gente<G>,não vi::a com tanta freQUÊNcia,1,M,DID,II
acorda) ( ) e isso embora,a gente<G>,tinha receio de pai e,1,M,DID,II
hoje eles não conseguirem supeRAR como::,a gente<G>,supeROU  Doc. eu sei...,1,M,DID,II
encontrei o D. no primeiro semestre,a gente<G>,se torNOU aMIgo MUIto inteliGENte,1,M,DID,II
Doc. ah::certo  Inf. e aí,a gente<G>,se aproxiMOU:: eu ia MUIto,1,M,DID,II
pára DIsso vai dar certo... aí,a gente<G>,ficou a primeira VEZ:: aí,1,M,DID,II
VEZ:: aí foi BOM e aí,a gente<G>,foi/foi/ foi aí ele me,1,M,DID,II
ele me pediu em naMOro aí,a gente<G>,tá até HOje mas a,1,M,DID,II
Inf. HOje é caSAR né... HOje,a gente<G>,conseguiu comprar dois imóveis,1,M,DID,II
Doc. PRONto  Inf. e aí,a gente<G>,eu t esperando só receber,1,M,DID,II
aí em dois mil e vinte,a gente<G>,casa  Doc.eita  Inf.,1,M,DID,II
escritório é só aquequatro parede as,a gente<G>,aprende muito em escriTÓrio mas,1,M,DID,II
com o meu namoRAdo mas hoje,a gente<G>,tá sem condições porque ele,1,M,DID,II
nem mentir::((risada))  Inf. ((ris)) MAS,a gente<G>,conversou a gente<G> preci.a gente<G>,1,M,DID,II
Inf. ((ris)) MAS a gente<G> conversou,a gente<G>,preci.a gente<G> já a gente<G>...,1,M,DID,II
MAS a gente<G> conversou a gente<G>preci.,a gente<G>,já a gente<G>... casa faz,1,M,DID,II
conversou a gente<G> preci.a gente<G> já,a gente<G>,casa faz u::ma:: festa... p,1,M,DID,II
conheci dele dessa FORma e aí,a gente<G>,foi passou um a::no passou,1,M,DID,II
uma faMÍlia e ele assim mas,a gente<G>,não vai FORmar uma faMÍlia,1,M,DID,II
não vai FORmar uma faMÍlia se,a gente<G>,não tiver:: onde moRAR porque,1,M,DID,II
faMÍlia... MAIS:: se é pra casar,a gente<G>,tem que ter aonde morar...aí,1,M,DID,II
Inf. e aí ele disse então,a gente<G>,tem que comeÇAR a se,1,M,DID,II
pelo tamanho da casa e aí,a gente<G>,foi conversou com o corretor,1,M,DID,II
o corretor nos convenCEU e aí,a gente<G>,deu a enTRAda a casa,1,M,DID,II
apartamento” quando eu terminei de assiNAR,a gente<G>,saiu do banco ele teve,1,M,DID,II
do banco ele teve essa ideia...,a gente<G>,tava muito resistente pela casa,1,M,DID,II
falar com o corretor... e aí::,a gente<G>,foi ver o apartaMEN:to encontramos,1,M,DID,II
e aí deu tudo certo e,a gente<G>...,conseguiu comprar esses dois imóveis,1,M,DID,II
menor do que a Casa... mas::,a gente<G>,viu que pras nossas necessiDAdes,1,M,DID,II
adequaria mais pra gente moRAR porque,a gente<G>,gosta de sair final de,1,M,DID,II
aMIgo de viaJAR... e a CAsa,a gente<G>,sempre ia ficar naquela preocupaÇÃO...,1,M,DID,II
ia ficar naquela preocupaÇÃO... se quando,a gente<G>,volTAR será que não não,1,M,DID,II
como é  Inf. no apartamento,a gente<G>,TRAN::ca e tem o porTEIro...,1,M,DID,II
bem mais FÁcil.. então por isso,a gente<G>,decidiu morar no apartamento e,1,M,DID,II
lá em casa como namorado ms::mo,a gente<G>,só vai se jun só,1,M,DID,II
(pelo) ( ) (gargalhada))  Inf.,a gente<G>,utiliza aquelas bicicletas da /da,1,M,DID,II
é que faz (aquilo)  Inf.,a gente<G>,tem que cadastrar no sitezinho,1,M,DID,II
((risos)) pois é é Isso... agora,a gente<G>,vai eu vou tirar férias,1,M,DID,II
agora eu vou tirar férias e,a gente<G>,vai viaJAR  Doc. já,1,M,DID,II
as minhas férias a do e,a gente<G>,vai pra lorianóplis  Doc.,1,M,DID,II
ter mais DÍvida neNHUma e também,a gente<G>,vai conhecer o eto arrero,1,M,DID,II
gosTEI:: meu irmão sempre gostou MAIS,a gente<G>,ouvia bastante assistia ((risos)),1,M,DID,II
Inf. não mas é bem aQUI...,a gente<G>,vai descer no um aí,1,M,DID,II
brincav/é:: ((respirou fundo)) no no caso,a gente<G>,sim foi uma infância bem,1,H,DID,II
no meio da RUA na/naquela época,a gente<G>,ainda brincava de:: brincadeira de,1,H,DID,II
a/aquele tempo era a época que,a gente<G>,vivia melhor né? no caso,1,H,DID,II
as propostas são lindas as que,a gente<G>,quer ouvir claro e a/,1,H,DID,II
claro e a/ e as que,a gente<G>,quer que aconteça mas na,1,H,DID,II
que /o que eu acho que,a gente<G>,pode fazer para melhorar a,1,H,DID,II
não vou fazer ( ) se,a gente<G>,for pensar assim nunca ninguém,1,H,DID,II
os políticos por::que... em outras cidades,a gente<G>,vê que... não tem isso,1,H,DID,II
o que fazer porque pagar impostos,a gente<G>,paga correto faz tudo correto,1,H,DID,II
a educaçã::o a seguran::ça coisas que,a gente<G>,não tem aqui né? coisas,1,H,DID,II
saúde pública? a saúde pública QUANdo,a gente<G>,precisa usar que graças a,1,H,DID,II
doente porque: não tem solução é,a gente<G>,é:: a gente<G> vai numa,1,H,DID,II
tem solução é a gente<G> é::,a gente<G>,vai numa UPA... a gente<G>,1,H,DID,II
é:: a gente<G> vai numa UPA...,a gente<G>,vai no SUS e:: só,1,H,DID,II
SUS e:: só o tempo que,a gente<G>,espera pra ser atendi::do já,1,H,DID,II
nós viramos melhores amigas... no caso,a gente<G>,somos muito unidas até porque...,1,H,DID,II
vejo elas... é às vezes... então,a gente<G>,só para pra conversar na,1,H,DID,II
estava com cinco anos de namo::ro,a gente<G>,se casou... ele... ele tem,1,H,DID,II
aí com cinco anos de namoro,a gente<G>,se casou e hoje a,1,H,DID,II
a gente<G> se casou e hoje,a gente<G>,já temos no caso dia,1,H,DID,II
um propósito na verdade... se/num se,a gente<G>,não tiver propósito vive ao,1,H,DID,II
COIsas e:: realizar outros PLAnos que,a gente<G>,tem pela fren::te de fazer,1,H,DID,II
e eles sempre muito solícitos com,a gente<G>...,de é:: orientando... a gente<G>,1,H,DID,II
com a gente<G>... de é:: orientando...,a gente<G>,qual a cadeira que,1,H,DID,II
também pelo professor também às vezes,a gente<G>,se apega ao professor e,1,H,DID,II
resguardar de::de futuras coisas ruins porque,a gente<G>,não sabe o dia de,1,H,DID,II
uma pessoa muito fácil de lidar,a gente<G>,nunca sabe ver o nosso,1,H,DID,II
ver o nosso defeito né? mas,a gente<G>,tem muitos mas eu me,1,H,DID,II
tudo no meu tempoporque às vezes,a gente<G>,deixa de aproveitar algumas COIsas,1,H,DID,II
hora... de supetão... quando vai quando,a gente<G>,vai comprar alguma coisa eu,1,H,DID,II
de:: gastar mui::to então à vezes,a gente<G>,deixa um pouco de viver,1,H,DID,II
de viver por conta dessas coisas,a gente<G>,tem que se abrir um,1,H,DID,II
um fi::lho pra colocar no mun::do,a gente<G>,só tem porque a gente<G>,1,H,DID,II
mun::do a gente<G> só tem porque,a gente<G>,não vai deixar de ser,1,H,DID,II
mundo mereçanão que... jamais... nas escolas,a gente<G>,ensina uma coisa a escola,1,H,DID,II
uma coisa a escola ensina outra,a gente<G>,fala que é “A” e,1,H,DID,II
e eu distorcendo o munde assim,a gente<G>,vai até a pessoa ter,1,H,DID,II
muito disciplina::da e aqui em casa,a gente<G>,já disse que eu vou,1,H,DID,II
uma esculhambação né? na verdade quando,a gente<G>,vira pai fica abestadomas eu,1,H,DID,II
esposo como pai mas na verdade,a gente<G>,pensa que sabe... mas quando,1,H,DID,II
mas quando vem o nosso só::,a gente<G>,sabe o que vai acontecer,1,H,DID,II
assistir tvporque isso não existe quando,a gente<G>,tem um filho claro que,1,H,DID,II
um filho claro que é que,a gente<G>,não consegue ficar com ele,1,H,DID,II
não sei se vai acontecer se,a gente<G>,vai ter condição financeira pra,1,H,DID,II
estão fazendo só o papel deles...,a gente<G>,é que tem que driblar,1,H,DID,II
que seus sonhos se reali::zem que,a gente<G>,tenha REALmente uma cidade melhor,1,H,DID,II
falei que é que são que,a gente<G>,planeja se se concretize::m que,1,H,DID,II
gente<G> planeja se se concretize::m que,a gente<G>,tenha uma cidade melhor pro,1,H,DID,II
que nossos filhos vivam be::m tranquila,a gente<G>,nessa/ numa família harmônio::sa esse,1,H,DID,II
que nas vezes nem sai como,a gente<G>,planeja mas o desejo é,1,H,DID,II
nada é tanto que quando... éh,a gente<G>,conseguiu... uma uma estabilidade financeira,1,M,DID,II
não/ eu morei um tempo quando,a gente<G>,morava de aluguel eu morei,1,M,DID,II
não tem perigo NÉ e aqui,a gente<G>,vive numa cidade que ultimamente,1,M,DID,II
( ) irmãos né e assim,a gente<G>,poderia ir por outros caminhos,1,M,DID,II
ir por outros caminhos né como,a gente<G>,não tinha esse... esse imPULSO...,1,M,DID,II
pai NÉ EU e meus irmãos,a gente<G>,não teve isso né mas,1,M,DID,II
gente<G> não teve isso né mas,a gente<G>,não foi por outros caminhos,1,M,DID,II
eu digo no sentido né que,a gente<G>,vive então assim... EU acho,1,M,DID,II
por isso que EU DIGO que,a gente<G>,amadureceu rápido a gente<G> que,1,M,DID,II
DIGO que a gente<G> amadureceu rápido,a gente<G>,que era crianças a gente<G>,1,M,DID,II
rápido a gente<G> que era crianças,a gente<G>,foi vendo aquilo e foi,1,M,DID,II
questão de namoro que ( ),a gente<G>,fala da infância a gente<G>,1,M,DID,II
) a gente<G> fala da infância,a gente<G>,fala muito dos namoros e,1,M,DID,II
minha tia que mora longe mas,a gente<G>,(não tem) esse contato mas,1,M,DID,II
comecei e terminou no terceiro ano,a gente<G>,fazia o estágio nera aí,1,M,DID,II
((criança chorando)) tenho umas amigas que,a gente<G>,sempre marca encontro e tudo,1,M,DID,II
de novo a costurar... e aí,a gente<G>,sempre teve costura na minha,1,M,DID,II
debates gerava muito debate na turma,A GENTE<G>,debatia sobre... a questão da,1,M,DID,II
eu chegava assim eu casa e,a gente<G>,tem que lutar pelos seus,1,M,DID,II
tudo que acontece na nossa sociedade,a gente<G>,ah um jovem ali morreu,1,M,DID,II
né mais essa essa desigualdade que,a gente<G>,vive tanto e eu digo,1,M,DID,II
do presente que é isso que,a gente<G>,vê não tem esse zelo,1,M,DID,II
crianças... ela levava meu sobrinho e,a gente<G>,aqui na nossa família a,1,M,DID,II
a gente<G> aqui na nossa família,a gente<G>,sempre foi muito humilde a,1,M,DID,II
a gente<G> sempre foi muito humilde,a gente<G>,nunca teve questão de violência,1,M,DID,II
em mãe essas coisas beber droga,a gente<G>,nunca teve isso né então,1,M,DID,II
e partilhar para outras crianças... e,a gente<G>,via também a falta de,1,M,DID,II
aí minha irmã aqui em casa,a gente<G>,fez esse sacrifício de pagar,1,M,DID,II
ele não chegou a presenciar mas,a gente<G>,vê na TV muitas que,1,M,DID,II
uma aula de qualidade... então assim,a gente<G>,fez esse sacrífico de colocar,1,M,DID,II
dePENDENDO das nossas escoLHAS porque é,a gente<G>,que faz nossas escolhas quando,1,M,DID,II
gente<G> que faz nossas escolhas quando,a gente<G>,vai lá na urna né...,1,M,DID,II
eu acho que nos pequenos detalhes,a gente<G>,vai fazendo a mudança né,1,M,DID,II
de informação e É ISSO que,a gente<G>,precisa de conhecimento e de,1,M,DID,II
conhecimento e de informação porque pra,a gente<G>,não viver uma vida alienada,1,M,DID,II
vejo assim muitos adolescentes coisa que,a gente<G>,não via antigamente que achava,1,M,DID,II
política falando sobre política coisa que,a gente<G>,não via antes né e,1,M,DID,II
eu na época da minha faculdade,a gente<G>,tinha algumas umas discussões sobre,1,M,DID,II
sociedade... sobre essa questão QUAL infância,a gente<G>,quer né uma infância que,1,M,DID,II
a casar também interessante... então AQUI,a gente<G>,nunca teve isso de caSAR,1,M,DID,II
que até HOJE aqui em casa,a gente<G>,fala a gente<G> lembra assim,1,M,DID,II
aqui em casa a gente<G> fala,a gente<G>,lembra assim né então pra,1,M,DID,II
de roLIMÃ né...ou seja isso que,a gente<G>,num vê mais hoje de,3,H,DID,II
da casa dele mas aí como,a gente<G>,ficava a::TÉ de madrugada num,3,H,DID,II
pras feiras...pras feiras de verduras aí,a gente<G>,pegava carona com eles que,3,H,DID,II
corujão era o era o verdureiro,a gente<G>,entrava era quando passava o,3,H,DID,II
era quando passava o caminhão que,a gente<G>,num pagava todo mundo já,3,H,DID,II
vioLÊNcia a violência... a violência que,a gente<G>,via né por exemplo eu,3,H,DID,II
DEsse atual governo aqui que nem,a gente<G>,bota/ fazia quando saia da,3,H,DID,II
pra universi::DAde... pra PUder debater com,a gente<G>,debater política né...o que eles,3,H,DID,II
construída...né e politicamente também né que,a gente<G>,vai estudando agora quando tá,3,H,DID,II
num posso atender o teleFOne porque,a gente<G>,faz um acordo de coopeRAção,3,H,DID,II
num QUER a escola num QUER...,a gente<G>,vai BOtar esse menino pra,3,H,DID,II
bem ligeirinho vai se virar-se contra,a GENte<G>,eu fui o Único do,3,H,DID,II
aqui... TROUxe ele para falar com,a gente<G>,mas PORque que trouxe ele...,3,H,DID,II
sabendo nada disso pela cara dela,a gente<G>,sabe da reação que ela,3,H,DID,II
o buraco AQUI né depois que,a gente<G>,saiu daqui ele ainda estava,3,H,DID,II
eu acho que é/ as vezes,a gente<G>,se acomoda de ficar dentro,3,H,DID,II
né com a família... mas vezes,a gente<G>,enjoa DEmais ta só a,3,H,DID,II
com a cara do outro né,a gente<G>,precisa... mas mas mas a,3,H,DID,II
a gente<G> precisa... mas mas mas,a gente<G>,é obriGAdo a fazer isso,3,H,DID,II
isso né obriGAdo...  ...restauRANte que,a gente<G>,ia eu vou ali pra,3,H,DID,II
me roubar não né... outra coisa,a gente<G>,abre a gente<G> abre a,3,H,DID,II
né... outra coisa a gente<G> abre,a gente<G>,abre a caBEça quando você,3,H,DID,II
onde você for é assim... agora,a gente<G>,tem que amenizar mais as,3,H,DID,II
se esse cabra vem e mata,a gente<G>,aí... nem ameaça mata a,3,H,DID,II
a gente<G> aí... nem ameaça mata,a gente<G>,logo... eu gente soube que,3,H,DID,II
ta estudando ainda... ou seja se,a gente<G>,se a gente<G>... aqui falando,3,H,DID,II
ou seja se a gente<G> se,a gente<G>...,aqui falando com o professor,3,H,DID,II
com esse PROfessores... e digo que,a gente<G>,tem que mudar... que a,3,H,DID,II
ou quando ele tá assim afetado,a gente<G>,procura ficar tanto é que,3,H,DID,II
o Marcio Holanda conversan::do com ele,a gente<G>,conversando da atenção a e::le...,3,H,DID,II
vai se aposentar... pra que que,a gente<G>,vai causar um outro transtorno,3,H,DID,II
essa EJA né... que... são ra-ri-da-des,a gente<G>,ver no meio dos professores,3,H,DID,II
particular como professor satisfação profissional... porque,a gente<G>,transforma a vida AQUI... as,3,H,DID,II
a vida AQUI... as pessoas que,a gente<G>,transforma a vida AQUI os,3,H,DID,II
alunos daqui nesse meio mesmo AQUI...,a gente<G>,vê essas pessoas transformadas rapaz...,3,H,DID,II
que tão aqui esses menino... tudo,a gente<G>,fica é... e eles tem,3,H,DID,II
alunos... nem sempre isso funcionou ….mas,a gente<G>,a gente<G> teve contato com::,1,H,DID,II
sempre isso funcionou ….mas a gente<G>::,a gente<G>,teve contato com:: com (ONHB),1,H,DID,II
em eu e alguns coLEGAs mas,a gente<G>,não podia participar porque a,1,H,DID,II
a gente<G> não podia participar porque,a gente<G>,tava docente... é:: nas escolas,1,H,DID,II
e onze ((pessoas conversando)) e aí,a gente<G>,fez pra prePARAções PRÉvias e::,1,H,DID,II
deu muito certo da primeira vez,a gente<G>,chegou já na final ((objeto,1,H,DID,II
da escola núcleo gestor e aí,a gente<G>,desde dois mil e onze,1,H,DID,II
quem a mesmo que às vezes,a gente<G>,não chegue na final da,1,H,DID,II
mil e dezessete eu aqui... mas,a gente<G>,sempre chega... é:: muito próximo,1,H,DID,II
chega... é:: muito próximo da fina,a gente<G>,sempre quando vai a final,1,H,DID,II
é cientÍFICAs que na minha época,a gente<G>,não podia nEM saBER porque,1,H,DID,II
OBJEtivo em relação a isso porque,a gente<G>,viu que na época da,1,H,DID,II
minha pesquisa de doutorado mas é::,a gente<G>,TEM tido discussões muito nesse,1,H,DID,II
proposta como um CHEque em branco,a gente<G>,aprova uma coisa que não,1,H,DID,II
e ainda falando de política:: atualmente,a gente<G>,TEm um dos nomes BEm,1,H,DID,II
prover um um um comunismo anarquista...,a gente<G>,TEm que ((tosse)) PEnsar que,1,H,DID,II
porQUÊ  Inf. em  Doc.,a gente<G>,VÊ no/na assim nas redes,1,H,DID,II
na época da de voTAR e,a gente<G>,nunca pode se surpreender com,1,H,DID,II
porque a/a maioria que/pelo o que,a gente<G>,percebe não TEm argumento sólido::,1,H,DID,II
um biCHO grosseiro é um bicho,a gente<G>,vê a a alta elite,1,H,DID,II
SEMpre são mais planejadas do que,a genTE<G>,então Nada NAda em música é,1,H,DID,II
quando tÁ mais próximo do enem,a gente<G>,faz um treinamento mais específico,1,H,DID,II
NAda a ver com política diretaMENTE,a gente<G>,ACAba abarANDO a:: discussão da,1,H,DID,II
DEz e quinze tem como nÃO,a gente<G>,pode tentar terMINAR mais cedo...,1,H,DID,II
falaRAM moMENTOS formativos ((pessoas conversando)) diferentes,a gente<G>,PEnsa que É ou a,1,H,DID,II
de histÓRIA la no IF... que,a gente<G>,tem essa possibilidade  Doc.,1,H,DID,II
essoa: m como é que,a gente<G>,az porque sem merENDA (,1,H,DID,II
TÊm até dez e quinze pra/poDE,a gente<G>,( ) eles começarem a,1,H,DID,II
eles começarem a apresentar ( ),a gente<G>,pode cortar mais cedo,1,H,DID,II
essoa. nÃO quando dER ONze horas,a gente<G>,( ) porque sem merenda,1,H,DID,II
e:: aqui durANTE a a:: gravação,a gente<G>,viu MUita gente vindo falar,1,H,DID,II
TÉCnicas e de perguntar ao PÚblico,a gente<G>,chama problematização.... eles eles tm,1,H,DID,II
a DIAlogar com o Público então,a gente<G>,tem VÁrias AUlas ao longo,1,H,DID,II
Inf. e a primeira vez que,a gente<G>,ta fazENDO isso COmo uma,1,H,DID,II
de antigamente né?...BOla BIla raia é:::,a gente<G>,tinha liberDAde pá:: brinCAR na,2,H,DID,II
vento)).Eu me lembro que até quando,a gente<G>,fiCAva muito tarde ((som do,2,H,DID,II
medo que a poLÍcia ia peGAR,a gente<G>,"tinha nem ladrão, era que",2,H,DID,II
era que a polícia ia pegar,a gente<G>,do vento)) porque era SUper,2,H,DID,II
"manhã, cinco e meia da manhã,",a gente<G>,ia pu:: ((som do vento))jogar,2,H,DID,II
((som do vento)) me lembro muito,a gente<G>,ir prum um navio.Quando o,2,H,DID,II
quarenta e oito horas em Fortaleza,a gente<G>,ia prum navio ficar lá,2,H,DID,II
de ele passar um ano e,a gente<G>,a gente<G> num tinha muito,2,H,DID,II
passar um ano e a gente<G>,a gente<G>,num tinha muito conTAto por,2,H,DID,II
"coisa que remete a infância porque,quando",a gente<G>,era pequeno oito anos nove,2,H,DID,II
anos nove sete oito anos nove,a gente<G>,ia tudo pra casa do,2,H,DID,II
"grande, quintal enorme ((som de vento))",a gente<G>,ia brinCAR joGAR BOla e,2,H,DID,II
gente<G> ia brinCAR joGAR BOla e aí,a GENte<G>,passava muito tempo lá no,2,H,DID,II
no Iguape carnaval qualquer data comemoraTIva,a gente<G>,ia pro IGUApe ficar lá,2,H,DID,II
"mateMÁtica, física ééé como é que",a gente<G>,tinha?Trigonometria não é?AntigaMENte nem sei,2,H,DID,II
muita coisa as lemBRANças viagens que,a gente<G>,fazia ééé festas grupo de,2,H,DID,II
seMAna inteira de ativiDAdes extracurriculares que,a gente<G>,tinha que colher ((som de,2,H,DID,II
na minha adolescência porque na infância,a gente<G>,tamBÉM TInha esse LANce de,2,H,DID,II
esCOlas nos nos proporcioNAvam pra que,a gente<G>,puDEsse é é queBRAR isso,2,H,DID,II
a oiTAva SÉrie né pra depois,a gente<G>,ir PAra o seGUNdo grau,2,H,DID,II
fase muito compliCAda porque naQUEla época,a gente<G>,ia venDER PLAno e não,2,H,DID,II
e não TInha treinaMENto simplesMENte peGAva,a gente<G>,joGAva na rua e pronto,2,H,DID,II
rua e pronto se viRAsse e,a gente<G>,quando batia na porta dos,2,H,DID,II
era plano funeRÁrio muita gente recebia,a gente<G>,com hostiliDAde ou então com,2,H,DID,II
é o fato dele coBRAR que,a gente<G>,acorDAR CEdo pra ir pra,2,H,DID,II
COisa normal. Às vezes leVAva muito,a gente<G>,a praia mas não tinha,2,H,DID,II
um conVÍvio intereSSANte eu e elas,a gente<G>,era uNIdo aí depois na,2,H,DID,II
irmã a que é advoGAda é,a gente<G>,não penSAva assim eu ir,2,H,DID,II
((som de vento)) e e e,a gente<G>,volTAva a pé das festas,2,H,DID,II
do Futuro ((som de vento)) e,a gente<G>,ía ((som de vento)) tinha,2,H,DID,II
conseguir pegar um ligar na arquibancada,a gente<G>,saia para praia três e,2,H,DID,II
vento)) grupo de:: dez aMIgos meus,a gente<G>,ía fiCAva aquele campo de,2,H,DID,II
liberava ((som de vento)) é é,a gente<G>,tinha liberdade pa ir pra,2,H,DID,II
vento)) coisa raRÍssima hoje não hoje,a gente<G>,não tem liberDAde pra nada...É::,2,H,DID,II
dois e de amiZAde foi porque,a gente<G>,conversou antes porque ela era,2,H,DID,II
sempre me relatou é é que,a gente<G>,fala de educação quando FAla,2,H,DID,II
de educação ((som de vento)) assim,a gente<G>,se reMEte logo a esCOla,2,H,DID,II
porque na minha época era outro,a gente<G>,respeiTAva muito os professores((som de,2,H,DID,II
dendi casa mas que é triste,a gente<G>,ver profissionais professores hoje abandoNAR,2,H,DID,II
) ééé antigaMENte ((som de vento)),a gente<G>,só tinha aqui ( ),2,H,DID,II
sou formOi ado década de noventa,a gente<G>,Inha VÁrias aulas de educação,2,H,DID,II
TANto que não área de mediCIna,a gente<G>,ver muito isso às VEzes,2,H,DID,II
((som de vento)) na academia e,a gente<G>,tendo uma conVERsa faZENdo a,2,H,DID,II
pra particiPAR da primeira corrida dele,a gente<G>,táva morrendo de MEdo ((som,2,H,DID,II
não aguenTAR de se decepcioNAR e,a gente<G>,conseguiu encoraJAR ele é partimos,2,H,DID,II
de vento)) eram cinco quiLÔmetros e,a gente<G>,foi eu e ele um,2,H,DID,II
moLEza eu me lembro que quando,a gente<G>,((som de vento)) ela iniciou,2,H,DID,II
I. D. D. S. B.... e,a gente<G>,vai conversar um pouco aqui,1,H,DID,II
eu encontro vários ami::gos éh.../ tem,a gente<G>,conversa muito SObre o TI::me,1,H,DID,II
conhece muito Ele... é as vê/,a GEnte<G>,participa de uma torcI::da uma,1,H,DID,II
nome ai sempre antes do jogo,a gente<G>,se conCENtra... em um barzinho,1,H,DID,II
e o ceara é prova Di::sso,a gente<G>,tem um futuro muito grande,1,H,DID,II
ENtrevista com o jogador... éh:: la::,a gente<G>,entrevistou o joão lucas que,1,H,DID,II
como é::RICA neh::como é rica/ como,a GENte<G>,POde trazer novos atletas a::í,1,H,DID,II
ele traz cada notícia aBSURDA que,a gente<G>,tenta convencer ele que é,1,H,DID,II
tem A::Í você ver que hoje,a gente<G>,se divide em dois partidos,1,H,DID,II
se for o KIT GAY enTÃO::,a gente<G>,resolve no PRÓximo ano é,1,H,DID,II
o judiciá::rio que prende não é::,a genTE<G>,sabe que que que esses,1,H,DID,II
um retrocesso AÍ sociAL que:: que,a gente<G>,vai passar:: e:: eu acredito,1,H,DID,II
e estatal do BRAsil acho que,a gente<G>,teria que eleger gente::... que::,1,H,DID,II
ser controlado com o plano reAL,a gente<G>,viu o governo SARNEY o,1,H,DID,II
mais a pena como como hoje,a gente<G>,vive um país extremamente vioLENTO,1,H,DID,II
gente<G> vive um país extremamente vioLENTO,a gente<G>,como/ por exemplo fortaleza é,1,H,DID,II
é((risos)) tem levantaMENTOS aí que que,a gente<G>,ganha de capitais que que,1,H,DID,II
em GUERRA não é que tão,a gente<G>,morre mais gente no brasil,1,H,DID,II
Era mais é assim.. AREia... e,a gente<G>,era tudo criança... ficava brincando,3,M,DID,II
livre ((riso))  Inf. – [Era,a gente<G>,vivia assim... criança assustada... porque...,3,M,DID,II
a participar das comuniDAde aí devagarinho,a gente<G>,vai muDANdo...  Doc. –,3,M,DID,II
– deixando aquele orGUlho... aquela prepoTÊNcia...,a gente<G>,vai sendo mais humILde::... ainda,3,M,DID,II
pronto... passei um tempo... ai depois,a gente<G>,se afasta aí a/ agora,3,M,DID,II
PERtinho... meia hora só de onde,a gente<G>,tava...  Doc. – hanram...,3,M,DID,II
foram de quê?  Inf. –,a gente<G>,chama/ ligava e vinha uma,3,M,DID,II
parava não... de manhã BEM cedinho,a gente<G>,tinha que acordar tomar o,3,M,DID,II
Inf. – lá... nesse hotel... aí,a gente<G>,já SAía já tinha topique,3,M,DID,II
já SAía já tinha topique esperando,a gente<G>...,TOdo dia a gente<G> ia,3,M,DID,II
topique esperando a gente<G>... TOdo dia,a gente<G>,ia conhecer uma coisa... nós,3,M,DID,II
daquele que tava tendo na época...,a gente<G>,via tudo neVANdo... neVANdo... era,3,M,DID,II
eu não aguentava não de NOite...,a gente<G>,botava um aqueceDOr::... eu me,3,M,DID,II
fronteira?  Inf. – [todo dia,a gente<G>,ía conhecer as coisas... outro,3,M,DID,II
nem me lembro mais... aí pronto...,a gente<G>,sabe que já tá do,3,M,DID,II
no país... e lá nesse paraguai,a gente<G>,VÊ/ VIA os... ARmamento lá,3,M,DID,II
os... ARmamento lá é tudo liberal,a gente<G>,via o povo lá tudo,3,M,DID,II
Inf. – não... (assim)/ diferente não...,a gente<G>,pedia/ olhava o cardápio e,3,M,DID,II
da manhã... TOdo dia de manhã,a gente<G>,ia merendar fora...  Doc.,3,M,DID,II
não... aí todo dia de manhã,a gente<G>,ia tomar o café da,3,M,DID,II
dez e meia da noite era,a gente<G>,lá no centro andando de,3,M,DID,II
TEM um pingo de perigo... só,a gente<G>,andando no centro... conhecendo as::/,3,M,DID,II
Inf. – num é CAro não...,a gente<G>,que é porque anda com,3,M,DID,II
foto... é lindo lindo lindo que,a gente<G>,fica assim... como é que,3,M,DID,II
coisas imensas de chocolate... é bonito,a gente<G>,fica impressionado... aí depois a,3,M,DID,II
a gente<G> fica impressionado... aí depois,a gente<G>,vai degustar::... eles tem uma,3,M,DID,II
chocolate... branco preto... de todo jeito...,a gente<G>,come que enjoa...  Doc.,3,M,DID,II
– não... ninguém trazia não... que,a gente<G>,comia que enjoava...  Doc.,3,M,DID,II
pra uma churrascaria almoçar::... muito chique...,a gente<G>,escolhia era churrasco era TUdo,3,M,DID,II
que tinha de selv service né...,a gente<G>,prova de tudo... era uma,3,M,DID,II
aí tinha as paRAda que onde,a gente<G>,parava ia degustar... VINho...,3,M,DID,II
não... aí quando saímos de lá,a gente<G>,foi almoçar noutra churrascaria e,3,M,DID,II
nós passamo cinco dia cada dia,a gente<G>,Doc. – conhecia uma,3,M,DID,II
